name,id,year,director,top,rating,num_of_rates
Реквием по мечте,tt0180093,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",79,8.3,633868
Амели,tt0211915,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",80,8.3,590056
Звёздочки на земле,tt0986264,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",81,8.3,111246
Заводной апельсин,tt0066921,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",82,8.3,618534
Твое имя,tt5311514,2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",83,8.3,58658
Лоуренс Аравийский,tt0056172,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness",84,8.3,213886
Двойная страховка,tt0036775,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",85,8.3,109863
Амадей,tt0086879,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",86,8.3,300604
Вечное сияние чистого разума,tt0338013,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",87,8.3,740125
Таксист,tt0075314,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",88,8.3,566520
Убить пересмешника,tt0056592,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna",89,8.3,240634
Цельнометаллическая оболочка,tt0093058,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",90,8.3,541082
2001 год: Космическая одиссея,tt0062622,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",91,8.3,477426
Поющие под дождём,tt0045152,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",92,8.3,170955
Дюнкерк,tt5013056,2017,"Christopher Nolan (dir.), Fionn Whitehead, Barry Keoghan",93,8.3,231096
История игрушек,tt0114709,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen",94,8.3,698208
История игрушек: Большой побег,tt0435761,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",95,8.3,606743
Афера,tt0070735,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford",96,8.3,194672
Три идиота,tt1187043,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",97,8.3,253142
Бесславные ублюдки,tt0361748,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",98,8.3,994845
Похитители велосипедов,tt0040522,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",99,8.3,107701
Малыш,tt0012349,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",100,8.3,79673
Большой куш,tt0208092,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",101,8.3,658055
Монти Пайтон и священный Грааль,tt0071853,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese",102,8.3,416817
Умница Уилл Хантинг,tt0119217,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon",103,8.3,680359
Охота,tt2106476,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",104,8.3,203299
Per qualche dollaro in più,tt0059578,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",105,8.3,178141
Секреты Лос-Анджелеса,tt0119488,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",106,8.3,451016
Лицо со шрамом,tt0086250,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",107,8.3,594714
The Apartment,tt0053604,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",108,8.2,123335
Metropolis,tt0017136,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",109,8.2,125090
Развод Надера и Симин,tt1832382,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",110,8.2,171480
Расёмон,tt0042876,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",111,8.2,115483
Индиана Джонс и последний крестовый поход,tt0097576,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",112,8.2,569664
Всё о Еве,tt0042192,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",113,8.2,92878
